log_id,worker_name,worker_phone,supervisor_id,work_date,hours,vendor_app,entered_at
L02408,Jignesh Y.,+91 9249985698,S103,2025-01-31,5.5,vendor_a_v2.3,2025-01-31T19:30:00+05:30
L01613,PRIYA SHAH,+919994717464,S102,2025-03-14,5.5,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01760,VINOD RAO,97378 26398,S104,2025-03-22,7.5,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L01945,Ganesh K.,91-9240050455,S101,2025-01-11,5.0,vendor_a_v2.3,2025-01-11T19:30:00+05:30
L01717,Kumar Lakshmi,+919861317127,S104,2025-02-14,5.5,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L01789,S. Naidu,+91 9867533963,S104,2025-01-13,7.5,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L02247,Kumari Naresh,+919139005329,S102,2025-02-04,4.0,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L00807,Mahesh B.,0 9088356159,S105,2025-02-04,6.0,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L00074,RAMESH PANDEY,9654235116,S102,2025-02-14,4.0,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L01450,RAKESH NAIDU,94271 09477,S102,2025-01-21,8.0,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00854,Nair Sunita,+91 9946804436,S101,2025-03-12,5.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L00661,Sumit M.,0 9487401640,S105,2025-01-17,6.5,vendor_a_v2.3,2025-01-17T19:30:00+05:30
L02191,Kumari Dinesh,9461200471,S102,2025-01-29,4.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L00601,A. Tiwari,94624 75107,S102,2025-03-08,7.0,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L00382,L. Iyer,+91 9301031051,S102,2025-02-08,5.5,vendor_a_v2.3,2025-02-08T19:30:00+05:30
L01338,Sarita S.,9957885685,S103,2025-02-14,6.5,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L02334,Vinod Reddy,91177 58917,S105,2025-01-27,5.0,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L00158,Sita  Yadav,99283 27648,S103,2025-02-24,5.5,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L02266,LAKSHMI MISHRA,99335 29042,S103,2025-03-18,8.5,vendor_a_v2.3,2025-03-18T19:30:00+05:30
L00316,A. Kumar,91-9957015430,S105,2025-03-12,7.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L00677,Pandey Geeta,+919786801128,S105,2025-02-26,5.5,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L00502,AJAY SHAH,+91 9687234309,S103,2025-03-16,9.0,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L01490,Mukesh  Tiwari,91-9186999386,S101,2025-02-08,8.0,vendor_a_v2.3,2025-02-08T19:30:00+05:30
L00675,Geeta  Pandey,+91 9786801128,S102,2025-01-11,9.0,vendor_a_v2.3,2025-01-11T19:30:00+05:30
L00339,MUKESH RAO,+91 9182278248,S102,2025-01-21,5.0,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L01978,VINOD IYER,91-9222196937,S102,2025-02-04,5.5,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L00054,RAMESH KUMAR,91-9104332181,S101,2025-01-15,6.5,vendor_a_v2.3,2025-01-15T19:30:00+05:30
L00093,Patel Shanti,90781 61849,S101,2025-02-18,6.5,vendor_a_v2.3,2025-02-18T19:30:00+05:30
L01181,G. Iyer,90496 63193,S101,2025-03-15,6.5,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L00181,Rakesh  Tiwari,+919056413953,S103,2025-01-13,5.0,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L01608,P. Shah,91-9994717464,S101,2025-01-29,8.5,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L02113,Sunita M.,9285884247,S103,2025-01-21,6.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00247,Hitesh  Reddy,9710122691,S105,2025-03-26,6.5,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L01189,Ganesh I.,90496 63193,S102,2025-02-26,5.5,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L01702,Rakesh  Mishra,91-9482477109,S103,2025-01-27,4.5,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L00748,SUMIT PATEL,91-9145868501,S104,2025-03-18,5.0,vendor_a_v2.3,2025-03-18T19:30:00+05:30
L01699,Rakesh M.,9482477109,S102,2025-01-19,6.5,vendor_a_v2.3,2025-01-19T19:30:00+05:30
L01653,Sunita  Rao,91-9874296717,S104,2025-01-29,4.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L00694,Bai Jignesh,+91 9204505331,S101,2025-02-02,5.0,vendor_a_v2.3,2025-02-02T19:30:00+05:30
L00850,R. Reddy,+91 9465648236,S101,2025-01-21,8.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00292,A. Reddy,9480184514,S104,2025-02-12,5.0,vendor_a_v2.3,2025-02-12T19:30:00+05:30
L01652,Sunita Rao,+919874296717,S105,2025-03-16,4.5,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L02330,Vinod  Reddy,91-9117758917,S104,2025-03-22,4.5,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L02600,Ankit Bai,+91 9752545991,S105,2025-03-24,7.0,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01269,Patel Vimala,+91 9531473799,S101,2025-02-24,6.0,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L00238,H. Reddy,91-9710122691,S102,2025-02-08,4.5,vendor_a_v2.3,2025-02-08T19:30:00+05:30
L01481,Mukesh  Tiwari,9186999386,S101,2025-02-20,7.0,vendor_a_v2.3,2025-02-20T19:30:00+05:30
L01562,Lakshmi Y.,92067 97403,S104,2025-02-28,7.0,vendor_a_v2.3,2025-02-28T19:30:00+05:30
L02146,Naresh K.,0 9123685160,S104,2025-01-19,8.5,vendor_a_v2.3,2025-01-19T19:30:00+05:30
L00548,Iyer Rakesh,91-9788208121,S101,2025-01-31,6.0,vendor_a_v2.3,2025-01-31T19:30:00+05:30
L01166,Ganesh I.,0 9049663193,S101,2025-01-19,7.0,vendor_a_v2.3,2025-01-19T19:30:00+05:30
L01142,Sarita  Verma,97193 74529,S104,2025-03-16,6.0,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L00682,GEETA PANDEY,0 9786801128,S103,2025-03-04,8.0,vendor_a_v2.3,2025-03-04T19:30:00+05:30
L00248,Hitesh R.,91-9710122691,S102,2025-01-27,8.0,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L01132,Mukesh Rao,0 9080531003,S105,2025-03-24,4.0,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01792,S. Naidu,9867533963,S102,2025-02-26,6.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L02008,Geeta  Kumari,+919407482175,S104,2025-03-16,6.5,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L00122,DINESH SINGH,9341316475,S101,2025-03-15,6.0,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L00616,Renu P.,92513 54278,S103,2025-01-21,7.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00283,Ajay Reddy,91-9480184514,S103,2025-02-22,4.5,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L02531,Mohit Sharma,+91 9493689980,S102,2025-02-22,4.5,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L01485,Mukesh T.,0 9186999386,S105,2025-01-17,7.5,vendor_a_v2.3,2025-01-17T19:30:00+05:30
L02054,Vikas P.,+919090974395,S103,2025-02-24,5.5,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L00768,S. Patel,9145868501,S104,2025-03-26,7.0,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L01254,V. Patel,0 9531473799,S105,2025-03-02,6.0,vendor_a_v2.3,2025-03-02T19:30:00+05:30
L00300,Geeta  Reddy,91-9281489325,S101,2025-02-26,9.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L02143,NARESH KUMARI,9123685160,S101,2025-02-10,9.0,vendor_a_v2.3,2025-02-10T19:30:00+05:30
L01476,Rakesh P.,0 9711671902,S103,2025-02-24,8.5,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L01689,Mishra Rakesh,+91 9482477109,S104,2025-02-16,5.5,vendor_a_v2.3,2025-02-16T19:30:00+05:30
L01153,Sarita  Verma,+91 9719374529,S103,2025-02-16,7.0,vendor_a_v2.3,2025-02-16T19:30:00+05:30
L00100,D. Singh,0 9341316475,S105,2025-01-27,4.5,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L02000,G. Kumari,0 9407482175,S104,2025-03-24,9.0,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01515,V. Bai,94990 91334,S103,2025-03-22,6.0,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L01741,VINOD RAO,+919737826398,S104,2025-03-18,7.5,vendor_a_v2.3,2025-03-18T19:30:00+05:30
L00323,ASHA KUMAR,91-9957015430,S105,2025-01-13,6.0,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L01175,G. Iyer,0 9049663193,S102,2025-01-23,7.5,vendor_a_v2.3,2025-01-23T19:30:00+05:30
L00101,DINESH SINGH,91-9341316475,S105,2025-01-29,5.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L01906,Usha D.,9578091343,S104,2025-02-22,6.0,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L01310,Mukesh Tiwari,96783 77701,S105,2025-03-12,5.5,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L01973,Vinod  Iyer,91-9222196937,S101,2025-01-07,6.0,vendor_a_v2.3,2025-01-07T19:30:00+05:30
L00509,AJAY SHAH,9687234309,S102,2025-03-14,5.0,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01011,U. Yadav,+919223623166,S105,2025-01-07,4.5,vendor_a_v2.3,2025-01-07T19:30:00+05:30
L02440,Sharma Vijay,91-9183673657,S104,2025-01-29,7.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L02042,Geeta  Kumari,+919436713695,S101,2025-01-15,9.0,vendor_a_v2.3,2025-01-15T19:30:00+05:30
L01555,L. Yadav,92067 97403,S104,2025-01-21,8.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L02324,Vinod Reddy,91-9117758917,S101,2025-02-04,4.5,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L00346,Anita  Shah,96578 71331,S105,2025-03-12,8.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L02348,Vinod Reddy,91177 58917,S101,2025-02-14,8.0,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L01856,Ajay  Kumar,9262174596,S103,2025-03-12,6.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L01899,Usha D.,95780 91343,S101,2025-02-14,4.5,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L02347,VINOD REDDY,91177 58917,S105,2025-01-07,4.5,vendor_a_v2.3,2025-01-07T19:30:00+05:30
L02602,V. Bai,97010 65133,S202,2025-03-14,7.5,vendor_b_v1.0,2025-03-14T22:30:00+00:00
L02482,Mohit Verma,9809885165,S105,2025-03-04,6.5,vendor_a_v2.3,2025-03-04T19:30:00+05:30
L00976,Sanjay P.,93487 34714,S101,2025-03-12,7.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L00791,M. Bai,0 9088356159,S104,2025-02-16,7.5,vendor_a_v2.3,2025-02-16T19:30:00+05:30
L02479,Mohit V.,+919809885165,S102,2025-01-29,5.5,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L02485,M. Verma,9809885165,S103,2025-03-10,6.0,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L01585,Ajay  Yadav,+919349361832,S104,2025-01-11,7.0,vendor_a_v2.3,2025-01-11T19:30:00+05:30
L01725,LAKSHMI KUMAR,+91 9861317127,S104,2025-01-07,8.5,vendor_a_v2.3,2025-01-07T19:30:00+05:30
L02573,ANKIT BAI,0 9752545991,S105,2025-02-28,6.5,vendor_a_v2.3,2025-02-28T19:30:00+05:30
L00512,Ajay Shah,0 9687234309,S101,2025-02-22,7.0,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L02603,Kumari Naresh,91-9139005329,S201,2025-03-15,7.0,vendor_b_v1.0,2025-03-15T22:30:00+00:00
L01483,Mukesh Tiwari,91-9186999386,S103,2025-01-31,7.0,vendor_a_v2.3,2025-01-31T19:30:00+05:30
L02448,Amit B.,0 9545271111,S103,2025-01-21,4.0,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00576,VIKAS SHARMA,9939909169,S103,2025-02-26,4.5,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L01804,S. Naidu,+91 9867533963,S101,2025-02-28,7.0,vendor_a_v2.3,2025-02-28T19:30:00+05:30
L00830,Reena  Reddy,+919465648236,S102,2025-01-13,7.5,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L02074,Geeta Verma,91-9104709521,S101,2025-01-23,4.5,vendor_a_v2.3,2025-01-23T19:30:00+05:30
L00950,Reddy Ajay,+919895798687,S105,2025-01-13,6.5,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L01045,R. Mishra,91-9669096705,S102,2025-02-06,4.0,vendor_a_v2.3,2025-02-06T19:30:00+05:30
L01300,Amit  Pandey,+919735454948,S104,2025-01-27,4.5,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L02564,Reena G.,0 9502296120,S103,2025-03-04,7.0,vendor_a_v2.3,2025-03-04T19:30:00+05:30
L00869,SUNITA NAIR,+91 9946804436,S105,2025-03-14,8.5,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01466,RAKESH PATEL,+91 9711671902,S105,2025-03-10,7.0,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L01396,Asha Nair,0 9413435240,S105,2025-03-16,5.5,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L00329,Kumar Asha,0 9957015430,S104,2025-01-21,7.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L00961,Sanjay Patel,93487 34714,S105,2025-01-29,6.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L01346,Shah Sarita,91-9957885685,S101,2025-03-06,8.5,vendor_a_v2.3,2025-03-06T19:30:00+05:30
L00655,ASHA KUMAR,0 9841241182,S102,2025-03-22,7.0,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L01459,Rakesh  Patel,0 9711671902,S104,2025-03-12,5.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L01438,Naidu Rakesh,94271 09477,S105,2025-01-23,6.5,vendor_a_v2.3,2025-01-23T19:30:00+05:30
L00828,Reena R.,9465648236,S105,2025-01-23,5.0,vendor_a_v2.3,2025-01-23T19:30:00+05:30
L02524,M. Sharma,0 9493689980,S103,2025-03-10,4.5,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L00652,Asha Kumar,+919841241182,S102,2025-02-26,6.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L02271,LAKSHMI MISHRA,9933529042,S103,2025-02-02,7.5,vendor_a_v2.3,2025-02-02T19:30:00+05:30
L01288,Amit Pandey,+91 9735454948,S105,2025-01-19,6.5,vendor_a_v2.3,2025-01-19T19:30:00+05:30
L00084,Shanti Patel,9078161849,S104,2025-03-26,5.5,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L02534,Mohit S.,94936 89980,S105,2025-03-16,8.5,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L01381,Reena  Patel,91-9313518233,S102,2025-03-24,6.5,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01076,V. Naidu,9893734670,S103,2025-03-20,6.5,vendor_a_v2.3,2025-03-20T19:30:00+05:30
L01203,Shanti S.,99058 65185,S105,2025-03-26,4.0,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L01819,SUMIT NAIDU,91-9867533963,S101,2025-02-22,9.0,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L00428,VIJAY BAI,0 9701065133,S104,2025-03-12,9.0,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L00470,SARITA PANDEY,9677360260,S101,2025-03-14,8.5,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01635,MAHESH BAI,91-9594013990,S102,2025-03-15,9.0,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L01711,Kumar Lakshmi,9861317127,S103,2025-03-20,5.5,vendor_a_v2.3,2025-03-20T19:30:00+05:30
L00242,HITESH REDDY,9710122691,S102,2025-03-24,4.5,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01647,M. Bai,95940 13990,S105,2025-03-14,7.0,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01004,Usha  Yadav,91-9223623166,S101,2025-03-20,8.5,vendor_a_v2.3,2025-03-20T19:30:00+05:30
L02269,Lakshmi Mishra,+91 9933529042,S102,2025-01-31,6.5,vendor_a_v2.3,2025-01-31T19:30:00+05:30
L01631,M. Bai,+91 9594013990,S105,2025-02-18,5.0,vendor_a_v2.3,2025-02-18T19:30:00+05:30
L02303,Sunita  Sharma,+91 9020539502,S101,2025-02-04,7.0,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L01722,Kumar Lakshmi,91-9861317127,S103,2025-01-17,6.5,vendor_a_v2.3,2025-01-17T19:30:00+05:30
L00241,Reddy Hitesh,+91 9710122691,S102,2025-03-10,8.0,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L00161,Sita  Yadav,0 9928327648,S101,2025-02-12,5.5,vendor_a_v2.3,2025-02-12T19:30:00+05:30
L02528,Mohit  Sharma,0 9493689980,S101,2025-02-14,6.0,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L00319,A. Kumar,9957015430,S102,2025-01-25,8.5,vendor_a_v2.3,2025-01-25T19:30:00+05:30
L00618,RENU PATEL,+91 9251354278,S105,2025-01-27,7.0,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L00532,Rakesh I.,97882 08121,S102,2025-01-15,7.5,vendor_a_v2.3,2025-01-15T19:30:00+05:30
L00245,H. Reddy,97101 22691,S104,2025-03-22,4.0,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L01642,Mahesh Bai,91-9594013990,S103,2025-01-31,8.5,vendor_a_v2.3,2025-01-31T19:30:00+05:30
L00226,A. Verma,94238 84969,S101,2025-02-28,6.0,vendor_a_v2.3,2025-02-28T19:30:00+05:30
L00334,Mukesh Rao,0 9182278248,S102,2025-02-12,9.0,vendor_a_v2.3,2025-02-12T19:30:00+05:30
